ID,Code,LongDescription
12199,"E2387","POWER WHEELCHAIR ACCESSORY, FOAM FILLED CASTER TIRE, ANY SIZE, REPLACEMENT"
12200,"E2328","POWER WHEELCHAIR ACCESSORY, HEAD CONTROL OR EXTREMITY CONTROL INTERFACE,"
12201,"E2329","POWER WHEELCHAIR ACCESSORY, HEAD CONTROL INTERFACE, CONTACT SWITCH MECHANISM,"
12202,"E2330","POWER WHEELCHAIR ACCESSORY, HEAD CONTROL INTERFACE, PROXIMITY SWITCH MECHANISM,"
12203,"E2331","POWER WHEELCHAIR ACCESSORY, ATTENDANT CONTROL, PROPORTIONAL, INCLUDING ALL"
12204,"E2340","POWER WHEELCHAIR ACCESSORY, NONSTANDARD SEAT FRAME WIDTH, 20-23 INCHES"
12205,"E2341","POWER WHEELCHAIR ACCESSORY, NONSTANDARD SEAT FRAME WIDTH, 24-27 INCHES"
12206,"E2342","POWER WHEELCHAIR ACCESSORY, NONSTANDARD SEAT FRAME DEPTH, 20 OR 21 INCHES"
12207,"E2351","POWER WHEELCHAIR ACCESSORY, ELECTRONIC INTERFACE TO OPERATE SPEECH GENERATING"
12208,"E2360","POWER WHEELCHAIR ACCESSORY, 22 NF NON-SEALED LEAD ACID BATTERY, EACH"
12209,"E2361","POWER WHEELCHAIR ACCESSORY, 22NF SEALED LEAD ACID BATTERY, EACH, (E.G. GEL"
12210,"E2362","POWER WHEELCHAIR ACCESSORY, GROUP 24 NON-SEALED LEAD ACID BATTERY, EACH"
12211,"E2363","POWER WHEELCHAIR ACCESSORY, GROUP 24 SEALED LEAD ACID BATTERY, EACH (E.G. GEL"
12212,"E2364","POWER WHEELCHAIR ACCESSORY, U-1 NON-SEALED LEAD ACID BATTERY, EACH"
12213,"E2365","POWER WHEELCHAIR ACCESSORY, U-1 SEALED LEAD ACID BATTERY, EACH (E.G. GEL CELL,"
12214,"E2366","POWER WHEELCHAIR ACCESSORY, BATTERY CHARGER, SINGLE MODE, FOR USE WITH ONLY ONE"
12215,"E2367","POWER WHEELCHAIR ACCESSORY, BATTERY CHARGER, DUAL MODE, FOR USE WITH EITHER"
12216,"E2368","POWER WHEELCHAIR COMPONENT, MOTOR, REPLACEMENT ONLY"
12217,"E2369","POWER WHEELCHAIR COMPONENT, GEAR BOX, REPLACEMENT ONLY"
12218,"E2370","POWER WHEELCHAIR COMPONENT, MOTOR AND GEAR BOX COMBINATION, REPLACEMENT ONLY"
12219,"E2371","POWER WHEELCHAIR ACCESSORY, GROUP 27 SEALED LEAD ACID BATTERY, (E.G. GEL CELL,"
12220,"E2372","POWER WHEELCHAIR ACCESSORY, GROUP 27 NON-SEALED LEAD ACID BATTERY, EACH"
12221,"E2373","POWER WHEELCHAIR ACCESSORY, HAND OR CHIN CONTROL INTERFACE, COMPACT REMOTE"
12222,"E2374","POWER WHEELCHAIR ACCESSORY, HAND OR CHIN CONTROL INTERFACE, STANDARD REMOTE"
12223,"E2375","POWER WHEELCHAIR ACCESSORY, NON-EXPANDABLE CONTROLLER, INCLUDING ALL RELATED"
12224,"E2397","POWER WHEELCHAIR ACCESSORY, LITHIUM-BASED BATTERY, EACH"
12225,"E2607","SKIN PROTECTION AND POSITIONING WHEELCHAIR SEAT CUSHION, WIDTH LESS THAN 22"
12226,"E2402","NEGATIVE PRESSURE WOUND THERAPY ELECTRICAL PUMP, STATIONARY OR PORTABLE"
12227,"E2500","SPEECH GENERATING DEVICE, DIGITIZED SPEECH, USING PRE-RECORDED MESSAGES, LESS"
12228,"E2502","SPEECH GENERATING DEVICE, DIGITIZED SPEECH, USING PRE-RECORDED MESSAGES,"
12229,"E2504","SPEECH GENERATING DEVICE, DIGITIZED SPEECH, USING PRE-RECORDED MESSAGES,"
12230,"E2506","SPEECH GENERATING DEVICE, DIGITIZED SPEECH, USING PRE-RECORDED MESSAGES,"
12231,"E2508","SPEECH GENERATING DEVICE, SYNTHESIZED SPEECH, REQUIRING MESSAGE FORMULATION BY"
12232,"E2510","SPEECH GENERATING DEVICE, SYNTHESIZED SPEECH, PERMITTING MULTIPLE METHODS OF"
12233,"E2511","SPEECH GENERATING SOFTWARE PROGRAM, FOR PERSONAL COMPUTER OR PERSONAL DIGITAL"
12234,"E2512","ACCESSORY FOR SPEECH GENERATING DEVICE, MOUNTING SYSTEM"
12235,"E2599","ACCESSORY FOR SPEECH GENERATING DEVICE, NOT OTHERWISE CLASSIFIED"
12236,"E2601","GENERAL USE WHEELCHAIR SEAT CUSHION, WIDTH LESS THAN 22 INCHES, ANY DEPTH"
12237,"E2602","GENERAL USE WHEELCHAIR SEAT CUSHION, WIDTH 22 INCHES OR GREATER, ANY DEPTH"
12238,"E2603","SKIN PROTECTION WHEELCHAIR SEAT CUSHION, WIDTH LESS THAN 22 INCHES, ANY DEPTH"
12239,"E2604","SKIN PROTECTION WHEELCHAIR SEAT CUSHION, WIDTH 22 INCHES OR GREATER, ANY DEPTH"
12240,"E2605","POSITIONING WHEELCHAIR SEAT CUSHION, WIDTH LESS THAN 22 INCHES, ANY DEPTH"
12241,"E2606","POSITIONING WHEELCHAIR SEAT CUSHION, WIDTH 22 INCHES OR GREATER, ANY DEPTH"
12242,"G0008","Admin influenza virus vac"
12243,"G0009","Admin pneumococcal vaccine"
12244,"G0010","Admin hepatitis b vaccine"
12245,"G0027","Semen analysis"
12246,"G0101","CA screen;pelvic/breast exam"
12247,"G0102","Prostate ca screening; dre"
12248,"G0103","PSA screening"
12249,"G0104","CA screen;flexi sigmoidscope"
12250,"G0105","Colorectal scrn; hi risk ind"
12251,"E2388","POWER WHEELCHAIR ACCESSORY, FOAM DRIVE WHEEL TIRE, ANY SIZE, REPLACEMENT ONLY,"
12252,"E2389","POWER WHEELCHAIR ACCESSORY, FOAM CASTER TIRE, ANY SIZE, REPLACEMENT ONLY, EACH"
12253,"E2390","POWER WHEELCHAIR ACCESSORY, SOLID (RUBBER/PLASTIC) DRIVE WHEEL TIRE, ANY SIZE,"
12254,"E2391","POWER WHEELCHAIR ACCESSORY, SOLID (RUBBER/PLASTIC) CASTER TIRE (REMOVABLE), ANY"
12255,"E2392","POWER WHEELCHAIR ACCESSORY, SOLID (RUBBER/PLASTIC) CASTER TIRE WITH INTEGRATED"
12256,"E2394","POWER WHEELCHAIR ACCESSORY, DRIVE WHEEL EXCLUDES TIRE, ANY SIZE, REPLACEMENT"
12257,"E2395","POWER WHEELCHAIR ACCESSORY, CASTER WHEEL EXCLUDES TIRE, ANY SIZE, REPLACEMENT"
12258,"E2396","POWER WHEELCHAIR ACCESSORY, CASTER FORK, ANY SIZE, REPLACEMENT ONLY, EACH"
12259,"E2608","SKIN PROTECTION AND POSITIONING WHEELCHAIR SEAT CUSHION, WIDTH 22 INCHES OR"
12260,"E2609","CUSTOM FABRICATED WHEELCHAIR SEAT CUSHION, ANY SIZE"
12261,"E2610","WHEELCHAIR SEAT CUSHION, POWERED"
12262,"E2611","GENERAL USE WHEELCHAIR BACK CUSHION, WIDTH LESS THAN 22 INCHES, ANY HEIGHT,"
12263,"E2612","GENERAL USE WHEELCHAIR BACK CUSHION, WIDTH 22 INCHES OR GREATER, ANY HEIGHT,"
12264,"E2613","POSITIONING WHEELCHAIR BACK CUSHION, POSTERIOR, WIDTH LESS THAN 22 INCHES, ANY"
12265,"E2614","POSITIONING WHEELCHAIR BACK CUSHION, POSTERIOR, WIDTH 22 INCHES OR GREATER, ANY"
12266,"E2615","POSITIONING WHEELCHAIR BACK CUSHION, POSTERIOR-LATERAL, WIDTH LESS THAN 22"
12267,"E2616","POSITIONING WHEELCHAIR BACK CUSHION, POSTERIOR-LATERAL, WIDTH 22 INCHES OR"
12268,"E2617","CUSTOM FABRICATED WHEELCHAIR BACK CUSHION, ANY SIZE, INCLUDING ANY TYPE"
12269,"E2619","REPLACEMENT COVER FOR WHEELCHAIR SEAT CUSHION OR BACK CUSHION, EACH"
12270,"E2620","POSITIONING WHEELCHAIR BACK CUSHION, PLANAR BACK WITH LATERAL SUPPORTS, WIDTH"
12271,"E2621","POSITIONING WHEELCHAIR BACK CUSHION, PLANAR BACK WITH LATERAL SUPPORTS, WIDTH"
12272,"E8000","GAIT TRAINER, PEDIATRIC SIZE, POSTERIOR SUPPORT, INCLUDES ALL ACCESSORIES AND"
12273,"E8001","GAIT TRAINER, PEDIATRIC SIZE, UPRIGHT SUPPORT, INCLUDES ALL ACCESSORIES AND"
12274,"E8002","GAIT TRAINER, PEDIATRIC SIZE, ANTERIOR SUPPORT, INCLUDES ALL ACCESSORIES AND"
12275,"G0123","Screen cerv/vag thin layer"
12276,"G0162","HHC RN E&M plan svs, 15 min"
12277,"G0163","HHC LPN/RN obs/asses ea 15"
12278,"G0164","HHC lis nurse train ea 15"
12279,"G0143","Scr c/v cyto,thinlayer,rescr"
12280,"G0168","Wound closure by adhesive"
12281,"G0173","Linear acc stereo radsur com"
12282,"G0175","OPPS Service,sched team conf"
12283,"G0176","OPPS/PHP;activity therapy"
12284,"G0144","Scr c/v cyto,thinlayer,rescr"
12285,"G0179","MD recertification HHA PT"
12286,"G0180","MD certification HHA patient"
12287,"G0181","Home health care supervision"
12288,"G0182","Hospice care supervision"
12289,"G0145","Scr c/v cyto,thinlayer,rescr"
12290,"G0202","Screeningmammographydigital"
12291,"G0147","Scr c/v cyto, automated sys"
12292,"G0148","Scr c/v cyto, autosys, rescr"
12293,"G0157","HHC PT assistant ea 15"
12294,"G0158","HHC OT assistant ea 15"
12295,"G0159","HHC PT maint ea 15 min"
12296,"G0160","HHC Occup Therapy ea 15"
12297,"G0161","HHC SLP ea 15 min"
12298,"G0166","Extrnl counterpulse, per tx"
12299,"G0124","Screen c/v thin layer by MD"
12300,"G0127","Trim nail(s)"
12301,"G0128","CORF skilled nursing service"
12302,"G0130","Single energy x-ray study"
12303,"G0141","Scr c/v cyto,autosys and md"
12304,"G0106","Colon CA screen;barium enema"
12305,"G0107","Colorectal cancer screening; fecal-occult blood test, 1-3 simultaneous determinations"
12306,"G0108","Diab manage trn  per indiv"
12307,"G0109","Diab manage trn ind/group"
12308,"G0117","Glaucoma scrn hgh risk direc"
12309,"G0118","Glaucoma scrn hgh risk direc"
12310,"G0120","Colon ca scrn; barium enema"
12311,"G0121","Colon ca scrn not hi rsk ind"
12312,"G0122","Colon ca scrn; barium enema"
12313,"G0245","Initial foot exam pt lops"
12314,"G0268","Removal of impacted wax md"
12315,"G0246","Followup eval of foot pt lop"
12316,"G0270","MNT subs tx for change dx"
12317,"G0271","Group MNT 2 or more 30 mins"
12318,"G0275","Renal angio, cardiac cath"
12319,"G0278","Iliac art angio,cardiac cath"
12320,"G0281","Elec stim unattend for press"
12321,"G0247","Routine footcare pt w lops"
12322,"G0283","Elec stim other than wound"
12323,"G0288","Recon, CTA for surg plan"
12324,"G0289","Arthro, loose body + chondro"
12325,"G0248","Demonstrate use home inr mon"
12326,"G0249","Provide INR test mater/equip"
12327,"G0204","Diagnosticmammographydigital"
12328,"G0206","Diagnosticmammographydigital"
12329,"G0239","Oth resp proc, group"
12330,"G0243","Multisource photon stereotactic radiosurgery, delivery including collimator changes and custom plugging, complete course of treatment, all lesions"
12331,"G0252","PET imaging initial dx"
12332,"G0265","CRYOPRESERVATION, FREEZING AND STORAGE OF CELLS FOR THERAPEUTIC USE, EACH CELL LINE"
12333,"G0266","THAWING AND EXPANSION OF FROZEN CELLS FOR THERAPEUTIC USE, EACH ALIQUOT"
12334,"G0267","BONE MARROW OR PERIPHERAL STEM CELL HARVEST, MODIFICATION OR TREATMENT TO ELIMINATE CELL TYPE(S) (E.G. T-CELLS, METASTATIC CARCINOMA)"
12335,"G0269","Occlusive device in vein art"
12336,"G0304","Pre-op service LVRS 1-9 dos"
12337,"G0305","Post op service LVRS min 6"
12338,"G0306","CBC/diffwbc w/o platelet"
12339,"G0307","CBC without platelet"
12340,"G0308","ESRD related svc 4+mo < 2yrs"
12341,"G0282","Elect stim wound care not pd"
12342,"G0290","Drug-eluting stents, single"
12343,"G0291","Drug-eluting stents,each add"
12344,"G0293","Non-cov surg proc,clin trial"
12345,"G0250","MD INR test revie inter mgmt"
12346,"G0177","OPPS/PHP; train & educ serv"
12347,"G0186","Dstry eye lesn,fdr vssl tech"
12348,"G0294","Non-cov proc, clinical trial"
12349,"G0295","Electromagnetic therapy onc"
12350,"G0219","PET img wholbod melano nonco"
12351,"G0235","PET not otherwise specified"
12352,"G0237","Therapeutic procd strg endur"
12353,"G0238","Oth resp proc, indiv"
12354,"G0297","Insert single chamber/cd"
12355,"G0298","INSERTION OF DUAL CHAMBER PACING CARDIOVERTER DEFIBRILLATOR PULSE GENERATOR"
12356,"G0251","Linear acc based stero radio"
12357,"G0299","INSERTION OR REPOSITIONING OF ELECTRODE LEAD FOR SINGLE CHAMBER PACING CARDIOVERTER DEFIBRILLATOR AND INSERTION OF PULSE GENERATOR"
12358,"G0255","Current percep threshold tst"
12359,"G0257","Unsched dialysis ESRD pt hos"
12360,"G0259","Inject for sacroiliac joint"
12361,"G0329","Electromagntic tx for ulcers"
12362,"G0260","Inj for sacroiliac jt anesth"
12363,"G0300","Insert reposit lead dual+gen"
12364,"G0337","Hospice evaluation preelecti"
12365,"G0302","Pre-op service LVRS complete"
12366,"G0303","Pre-op service LVRS 10-15dos"
12367,"G0341","Percutaneous islet celltrans"
12368,"G0342","Laparoscopy islet cell trans"
12369,"G0343","Laparotomy islet cell transp"
12370,"G0309","ESRD related svc 2-3mo <2yrs"
12371,"G0310","ESRD related svc 1 vst <2yrs"
12372,"G0365","Vessel mapping hemo access"
12373,"G0311","ESRD related svs 4+mo 2-11yr"
12374,"G0312","ESRD relate svs 2-3 mo 2-11y"
12375,"G0313","ESRD related svs 1 mon 2-11y"
12376,"G0372","MD service required for PMD"
12377,"G0314","ESRD related svs 4+ mo 12-19"
12378,"G0315","ESRD related svs 2-3mo/12-19"
12379,"G0316","ESRD related svs 1vis/12-19y"
12380,"G0317","ESRD related svs 4+mo 20+yrs"
12381,"G0318","ESRD related svs 2-3 mo 20+y"
12382,"G0389","Ultrasound exam AAA screen"
12383,"G0319","ESRD related svs 1visit 20+y"
12384,"G0320","ESD related svs home undr 2"
12385,"G0321","ESRDrelatedsvs home mo 2-11y"
12386,"G0322","ESRD related svs hom mo12-19"
12387,"G0397","Alcohol/subs interv >30 min"
12388,"G0398","Home sleep test/type 2 Porta"
12389,"G0399","Home sleep test/type 3 Porta"
12390,"G0400","Home sleep test/type 4 Porta"
12391,"G0323","ESRD related svs home mo 20+"
12392,"G0324","ESRD relate svs home/dy <2yr"
12393,"G0325","ESRD relate home/day/ 2-11yr"
12394,"G0326","ESRD relate home/dy 12-19yr"
12395,"G0327","ESRD relate home/dy 20+yrs"
12396,"G0332","Preadmin IV immunoglobulin"
12397,"G0344","Initial preventive exam"
12398,"G0364","Bone marrow aspirate &biopsy"
12399,"G0366","EKG for initial prevent exam"
12400,"G0367","EKG tracing for initial prev"
12401,"G0368","EKG interpret & report preve"
12402,"G0377","Administra Part D vaccine"
12403,"G0378","Hospital observation per hr"
12404,"G0379","Direct refer hospital observ"
12405,"G0328","Fecal blood scrn immunoassay"
12406,"G0333","Dispense fee initial 30 day"
12407,"G0339","Robot lin-radsurg com, first"
12408,"G0340","Robt lin-radsurg fractx 2-5"
12409,"G0410","Grp psych partial hosp 45-50"
12410,"G0421","Ed svc CKD grp per session"
12411,"G0422","Intens cardiac rehab w/exerc"
12412,"G0423","Intens cardiac rehab no exer"
12413,"G0424","Pulmonary rehab w exer"
12414,"G0425","Inpt/ED teleconsult30"
12415,"G0426","Inpt/ED teleconsult50"
12416,"G0411","Inter active grp psych parti"
12417,"G0412","Open tx iliac spine uni/bil"
12418,"G0413","Pelvic ring fracture uni/bil"
12419,"G0375","SMOKING AND TOBACCO USE CESSATION COUNSELING VISIT; INTERMEDIATE, GREATER THAN 3 MINUTES UP TO 10 MINUTES"
12420,"G0376","SMOKING AND TOBACCO USE CESSATION COUNSELING VISIT; INTENSIVE, GREATER THAN 10 MINUTES"
12421,"G0414","Pelvic ring fx treat int fix"
12422,"G0415","Open tx post pelvic fxcture"
12423,"G0416","Sat biopsy prostate 1-20 spc"
12424,"G0392","AV fistula or graft arterial"
12425,"G0393","AV fistula or graft venous"
12426,"G0394","Blood occult test,colorectal"
12427,"G0396","Alcohol/subs interv 15-30mn"
12428,"G0402","Initial preventive exam"
12429,"G0403","EKG for initial prevent exam"
12430,"G0404","EKG tracing for initial prev"
12431,"G0405","EKG interpret & report preve"
12432,"G0406","Inpt/tele follow up 15"
12433,"G0407","Inpt/tele follow up 25"
12434,"G0417","Sat biopsy prostate 21-40"
12435,"G0408","Inpt/tele follow up 35"
12436,"G0418","Sat biopsy prostate 41-60"
12437,"G0419","Sat biopsy prostate: >60"
12438,"G0420","Ed svc CKD ind per session"
12439,"G0409","CORF related serv 15 mins ea"
12440,"G0428","Collagen Meniscus Implant"
12441,"G0431","Drug screen multip class"
12442,"G0909","HbG not doc"
12443,"G0910","HgB <= 12 g/dL"
12444,"G0911","Assess activity symptoms"
12445,"G0912","No assess activity symptoms"
12446,"G0913","Improve visual funct"
12447,"G0914","Survey not complete"
12448,"G0915","No improve visual funct"
12449,"G0916","Satisfy with care"
12450,"G0917","Satisfy survey not complete"
12451,"G0918","No satisfy with care"
12452,"G0919","Flu immunize not avail"
12453,"G0920","Type loc act doc"
12454,"G0921","Doc pt reas no assess"
12455,"G0922","Type loc act not doc"
12456,"G3001","Admin + supply, tositumomab"
12457,"G0432","EIA HIV-1/HIV-2 screen"
12458,"G0433","ELISA HIV-1/HIV-2 screen"
12459,"G0434","Drug screen multi drug class"
12460,"G0435","Oral HIV-1/HIV-2 screen"
12461,"G0440","Skin/dermal subs init 25or<"
12462,"G0441","Skin/dermal subs each additi"
12463,"G0427","Inpt/ED teleconsult70"
12464,"G0908","HgB > 12 g/dL"
12465,"G0429","Dermal filler injection(s)"
12466,"G0436","Tobacco-use counsel 3-10 min"
12467,"G0437","Tobacco-use counsel>10min"
12468,"G0438","PPPS, initial visit"
12469,"G0439","PPPS, subseq visit"
12470,"G0442","Annual alcohol screen 15 min"
12471,"G0443","Brief alcohol misuse counsel"
12472,"G0444","Depression screen annual"
12473,"G0445","High inten beh couns STD 30m"
12474,"G0446","Intens behave ther cardio dx"
12475,"G0447","Behavior counsel obesity 15m"
12476,"G8025","Diabetic pt inelig for BP me"
12477,"G8026","Diabet pt w no care re BP me"
12478,"G8027","HF p w/LVSD on ACE-I/ARB"
12479,"G8028","HF pt w/LVSD not on ACE-I/AR"
12480,"G8029","HF pt not elig for ACE-I/ARB"
12481,"G8030","HF pt w/LVSD on Bblocker"
12482,"G0448","Place perm pacing cardiovert"
12483,"G0449","Annual obesity screen 15 min"
12484,"G0450","Screen STI w four lab test"
12485,"G0451","Devlopment test interpt&rep"
12486,"G8013","Pneum pt w/o antibiotic 4 hr"
12487,"G8014","Pneum pt not elig antibiotic"
12488,"G8015","Diabetic pt w/ HBA1c>9%"
12489,"G0430","Drug screen multi class"
12490,"G8006","AMI pt recd aspirin at arriv"
12491,"G8007","AMI pt did not receiv aspiri"
12492,"G8008","AMI pt ineligible for aspiri"
12493,"G8009","AMI pt recd Bblock at arr"
12494,"G8010","AMI pt did not rec bblock"
12495,"G8016","Diabetic pt w/ HBA1c<or=9%"
12496,"G8017","DM pt inelig for HBA1c measu"
12497,"G8018","Care not provided for HbA1c"
12498,"G8019","Diabetic pt w/LDL>= 100mg/dl"
12499,"G8011","AMI pt inelig Bbloc at arriv"
12500,"G8012","Pneum pt recv antibiotic 4 h"
12501,"G8020","Diab pt w/LDL< 100mg/dl"
12502,"G8021","Diab pt inelig for LDL meas"
12503,"G8022","Care not provided for LDL"
12504,"G8023","DM pt w BP>=140/80"
12505,"G8024","Diabetic pt wBP<140/80"
12506,"G8036","AMI-CAD pt doc on antiplatel"
12507,"G8077","ESRD pt not elig for URR/KtV"
12508,"G8078","ESRD pt w/Hct>or=33"
12509,"G8079","ESRD pt w/Hct<33"
12510,"G8080","ESRD pt inelig for HCT/Hgb"
12511,"G8081","ESRD pt w/ auto AV fistula"
12512,"G8082","ESRD pt w other fistula"
12513,"G8085","ESRD PT inelig auto AV FISTU"
12514,"G8037","AMI-CAD pt not docu on antip"
12515,"G8038","AMI-CAD inelig antiplate mea"
12516,"G8039","CAD pt w/LDL>100mg/dl"
12517,"G8040","CAD pt w/LDL<or=100mg/dl"
12518,"G8041","CAD pt not eligible for LDL"
12519,"G8051","Osteoporosis assess"
12520,"G8052","Osteopor pt not assess"
12521,"G8053","Pt inelig for osteopor meas"
12522,"G8054","Falls assess not docum 12 mo"
12523,"G8055","Falls assess w/ 12 mon"
12524,"G8056","Not elig for falls assessmen"
12525,"G8057","Hearing assess receive"
12526,"G8058","Pt w/o hearing assess"
12527,"G8059","Pt inelig for hearing assess"
12528,"G8060","Urinary incont pt assess"
12529,"G8061","Pt not assess for urinary in"
12530,"G8062","Pt not elig for urinary inco"
12531,"G8075","ESRD pt w/ dialy of URR>=65%"
12532,"G8126","Pt treat w/antidepress12wks"
12533,"G8127","Pt not treat w/antidepres12w"
12534,"G8128","Pt inelig for antidepres med"
12535,"G8076","ESRD pt w/ dialy of URR<65%"
12536,"G8031","HF pt w/LVSD not on Bblocker"
12537,"G8032","HF pt not elig for Bblocker"
12538,"G8033","PMI-CAD pt on Bblocker"
12539,"G8034","PMI-CAD pt not on Bblocker"
12540,"G8035","PMI-CAD pt inelig Bblocker"
12541,"G8155","Pt recd thromboemb prophylax"
12542,"G8156","Pt did not rec thromboembo"
12543,"G8157","Pt ineligi for thrombolism"
12544,"G8093","COPD pt rec smoking cessat"
12545,"G8159","Pt w/CABG w/o IMA"
12546,"G8094","COPD pt w/o smoke cessat int"
12547,"G8099","Osteopo pt given Ca+VitD sup"
12548,"G8162","Iso CABG pt w/o preop Bblock"
12549,"G8100","Osteop pt inelig for Ca+VitD"
12550,"G8103","New dx osteo pt w/antiresorp"
12551,"G8104","Osteo pt inelig for antireso"
12552,"G8106","Bone dens meas test perf"
12553,"G8107","Bone dens meas test inelig"
12554,"G8108","Pt receiv influenza vacc"
12555,"G8109","Pt w/o influenza vacc"
12556,"G8110","Pt inelig for influenza vacc"
12557,"G8111","Pt receiv mammogram"
12558,"G8112","Pt not doc mammogram"
12559,"G8113","Pt ineligible mammography"
12560,"G8114","Care not provided for mamogr"
12561,"G8115","Pt receiv pneumo vacc"
12562,"G8116","Pt did not rec pneumo vacc"
12563,"G8117","Pt was inelig for pneumo vac"
12564,"G8129","Pt treat w/antidepres for 6m"
12565,"G8130","Pt not treat w/antidepres 6m"
12566,"G8131","Pt inelig for antidepres med"
12567,"G8152","Pt w/AB 1 hr prior to incisi"
12568,"G8153","Pt not doc for AB 1 hr prior"
12569,"G8154","Pt ineligi for AB therapy"
12570,"G8160","CLINICIAN DOCUMENTED THAT PATIENT WAS NOT AN ELIGIBLE CANDIDATE FOR CORONARY ARTERY BYPASS GRAFT WITH USE OF INTERNAL MAMMARY ARTERY MEASURE"
12571,"G8200","Cefazolin not docum prophy"
12572,"G8161","PATIENT WITH ISOLATED CORONARY ARTERY BYPASS GRAFT DOCUMENTED TO HAVE RECEIVED PRE-OPERATIVE BETA-BLOCKADE"
12573,"G8202","CLINICIAN DOCUMENTED AN ORDER WAS GIVEN TO DISCONTINUE PROPHYLACTIC ANTIBIOTICS WITHIN 24 HOURS OF SURGICAL END TIME"
12574,"G8203","CLINICIAN DOCUMENTED THAT PROPHYLACTIC ANTIBIOTICS WERE DISCONTINUED WITHIN 24 HOURS OF SURGICAL END TIME"
12575,"G8204","MD not doc order to d/c anti"
12576,"G8205","CLINICIAN DOCUMENTED THAT PATIENT WAS NOT AN ELIGIBLE CANDIDATE FOR PROPHYLACTIC ANTIBIOTIC DISCONTINUATION WITHIN 24 HOURS OF SURGICAL END TIME"
12577,"G8206","CLINICIAN DOCUMENTED THAT PROPHYLACTIC ANTIBIOTIC WAS GIVEN"
12578,"G8207","CLINICIAN DOCUMENTED AN ORDER WAS GIVEN TO DISCONTINUE PROPHYLACTIC ANTIBIOTICS WITHIN 48 HOURS OF SURGICAL END TIME"
12579,"G8208","CLINICIAN DOCUMENTED THAT PROPHYLACTIC ANTIBIOTICS WERE DISCONTINUED WITHIN 48 HOURS OF SURGICAL END TIME"
12580,"G8209","Clinician did not doc"
12581,"G8210","CLINICIAN DOCUMENTED PATIENT WAS NOT AN ELIGIBLE CANDIDATE FOR DISCONTINUATION OF PROPHYLACTIC ANTIBIOTIC DISCONTINUATION WITHIN 48 HOURS OF SURGICAL END TIME"
12582,"G8211","CLINICIAN DOCUMENTED THAT PROPHYLACTIC ANTIBIOTIC WAS GIVEN"
12583,"G8212","CLINICIAN DOCUMENTED AN ORDER WAS GIVEN FOR APPROPRIATE VENOUS THROMBOEMBOLISM (VTE) PROPHYLAXIS TO BE GIVEN WITHIN 24 HRS PRIOR TO INCISION TIME OR 24 HOURS AFTER SURGERY END TIME"
12584,"G8213","CLINICIAN DOCUMENTED TO HAVE GIVEN VTE PROPHYLAXIS WITHIN 24 HRS PRIOR TO INCISION TIME OR 24 HOURS AFTER SURGERY END TIME"
12585,"G8214","Clini not doc order VTE"
12586,"G8163","CLINICIAN DOCUMENTED THAT PATIENT WITH ISOLATED CORONARY ARTERY BYPASS GRAFT WAS NOT AN ELIGIBLE CANDIDATE FOR PRE-OPERATIVE BETA-BLOCKADE MEASURE"
12587,"G8164","Iso CABG pt w/prolng intub"
12588,"G8217","Pt not received DVT proph"
12589,"G8165","Iso CABG pt w/o prolng intub"
12590,"G8219","Received DVT proph day 2"
12591,"G8220","Pt not rec DVT proph day 2"
12592,"G8221","Pt inelig for DVT proph"
12593,"G8166","Iso CABG req surg rexpo"
12594,"G8223","Pt not doc for presc antipla"
12595,"G8167","Iso CABG w/o surg explo"
12596,"G8170","CEA/ext bypass pt on aspirin"
12597,"G8226","Pt no prescr anticoa at D/C"
12598,"G8171","Pt w/carot endarct/ext bypas"
12599,"G8172","CEA/ext bypass pt not on asp"
12600,"G8182","CAD pt care not prov LDL"
12601,"G8183","HF/atrial fib pt on warfarin"
12602,"G8231","Pt not doc for admin t-PA"
12603,"G8184","HF/atrial fib pt inelig warf"
12604,"G8234","Pt not doc dysphagia screen"
12605,"G8185","Osteoarth pt w/ assess pain"
12606,"G8186","Osteoarth pt inelig assess"
12607,"G8191","CLINICIAN DOCUMENTED TO HAVE GIVEN ORDER FOR PROPHYLACTIC ANTIBIOTIC TO BE GIVEN WITHIN ONE HOUR (IF VANCOMYCIN, TWO HOURS) PRIOR TO SURGICAL INCISION (OR START OF PROCEDURE WHEN NO INCISION IS REQUIRED)"
12608,"G8238","Pt not doc to rec rehab serv"
12609,"G8192","CLINICIAN DOCUMENTED TO HAVE GIVEN THE PROPHYLACTIC ANTIBIOTIC WITHIN ONE HOUR (IF VANCOMYCIN, TWO HOURS) PRIOR TO THE SURGICAL INCISION (OR START OF PROCEDURE WHEN NO INCISION IS REQUIRED)"
12610,"G8240","Inter carotid stenosis30-99%"
12611,"G8193","Antibio not doc prior surg"
12612,"G8194","CLINICIAN DOCUMENTED THAT PATIENT WAS NOT AN ELIGIBLE CANDIDATE FOR PROPHYLACTIC ANTIBIOTIC"
12613,"G8243","Pt not doc MRI/CT w/o lesion"
12614,"G8196","Antibio not docum prior surg"
12615,"G8246","Pt inelig hx w new/chg mole"
12616,"G8158","PATIENT DOCUMENTED TO HAVE RECEIVED CORONARY ARTERY BYPASS GRAFT WITH USE OF INTERNAL MAMMARY ARTERY"
12617,"G8248","Pt w/one alarm symp not doc"
12618,"G8201","PATIENT WAS NOT AN ELIGIBLE CANDIDATE FOR CEFAZOLIN OR CEFUROXIME FOR ANTIMICROBIAL PROPHYLAXIS"
